normalized_model,model_family,accelerator_type,mAP50,baseline_mAP50,mAP50_drop,mAP50_drop_percent
yolo12m,YOLO12-M,Apple M4 ANE,67.24602509,67.24850464,0.002479549999989672,0.0036871451837678696
yolo12s,YOLO12-S,RTX PRO 6000 Max-Q,62.77745819,62.77750778,4.959000000326341e-05,7.899326009730839e-05
yolo12n,YOLO12-N,RTX PRO 6000 Max-Q,55.77431488,55.77432632,1.1440000001528006e-05,2.0511229370825695e-05
yolo12m,YOLO12-M,RTX PRO 6000 Max-Q,67.24837494,67.24850464,0.00012969999998801995,0.00019286674206711395
yolov5mu,YOLOv5-MU,Mobilint-ARIES,59.66191101,63.77489471,4.112983700000001,6.449220682688292
yolov5nu,YOLOv5-NU,Mobilint-ARIES,46.03955841,48.88421249,2.844654080000005,5.819167242556933
yolov5su,YOLOv5-SU,Mobilint-ARIES,57.62205124,58.55023193,0.9281806900000049,1.5852724394152626
yolov5mu,YOLOv5-MU,Hailo-8,58.0574913,63.77489471,5.717403409999996,8.964975067381019
yolov5nu,YOLOv5-NU,Hailo-8,42.24772644,48.88421249,6.636486050000002,13.575929143499232
yolov5su,YOLOv5-SU,Hailo-8,51.35976028,58.55023193,7.190471649999999,12.280859380021928
yolov5nu,YOLOv5-NU,DeepX M1,48.64378738,48.88421249,0.24042511000000388,0.49182567899439195
yolov5mu,YOLOv5-MU,DeepX M1,63.51412964,63.77489471,0.26076506999999793,0.4088835758737985
yolov5su,YOLOv5-SU,DeepX M1,58.40240097,58.55023193,0.1478309600000003,0.25248569497852763
yolov5su,YOLOv5-SU,Apple M4 ANE,58.54852676,58.55023193,0.0017051700000010328,0.002912319804368421
yolov5nu,YOLOv5-NU,Apple M4 ANE,48.88251495,48.88421249,0.0016975400000021068,0.003472573073258292
yolov5mu,YOLOv5-MU,Apple M4 ANE,63.77737427,63.77489471,-0.0024795600000047102,-0.0038879876027704545
yolov5su,YOLOv5-SU,RTX PRO 6000 Max-Q,58.55029678,58.55023193,-6.484999999400998e-05,-0.00011075959540440708
yolov5nu,YOLOv5-NU,RTX PRO 6000 Max-Q,48.88420868,48.88421249,3.8100000026020098e-06,7.793927340818679e-06
