device,base_model,benchmark_model,mAP50,mAP50_cpu,accuracy_drop,latency_singlestream,latency_cpu,speedup,throughput_singlestream,throughput_offline,eta,feasible
Hailo-8,yolov7,yolov7,60.82561493,66.64164734,8.72732389151052,47.92988865,448.7389988,9.362404366862638,20.86380811986301,57.80211303,2.7704488412626147,0
Hailo-8,yolov7x,yolov7x,62.88839722,68.14979553,7.7203435007870285,87.66816444,744.0225637,8.48680439989374,11.406649225379859,32.57891396,2.8561335863218913,0
Hailo-8,yolov8m,yolov8m,58.87085342,65.39667511,9.978827943505216,53.4846674,368.3289403,6.886626732580186,18.69694715536363,60.53802507,3.2378561359218123,0
Hailo-8,yolov8n,yolov8n,44.77954483,51.67530823,13.344406905727324,32.9076071,59.28260226,1.801486266681481,30.388110474310363,71.54450809,2.3543585623884913,0
Hailo-8,yolov8s,yolov8s,53.53567505,60.59686661,11.652733804613462,35.54410246,152.7072133,4.296274282684476,28.13406249673522,72.9944975,2.5945238981562135,0
Hailo-8,yolov9m,yolov9m,59.20882416,66.19837952,10.558499181824086,51.16916141,345.3845701,6.74985793362057,19.543021078406216,57.66371579,2.9506039807588755,0
Hailo-8,yolov9s,yolov9s,54.34335327,61.23288727,11.251362310618017,44.08105081,155.00957140000003,3.51646724730154,22.685484615832824,64.75270126,2.8543671143268106,0
Hailo-8,yolov9t,yolov9t,44.39318085,51.99168396,14.614843242711546,39.43834253,62.60135047,1.5873220438303242,25.356035163985883,65.94573933,2.6007906560906324,0
Mobilint-ARIES,yolo11m,yolo11m,65.2006073,65.75679016,0.8458181408287779,27.95418951,303.82471610000005,10.868664820037562,35.772813217935436,227.5829362,6.361896527777039,1
Mobilint-ARIES,yolo11n,yolo11n,52.50618362,54.25328064,3.220260598788369,11.07415859,51.88629889,4.685349091609858,90.30031418396005,705.5366637,7.813224904873295,1
Mobilint-ARIES,yolo11s,yolo11s,60.88858414,61.56828308,1.1039757907765935,17.28095724,125.300596,7.250790234580778,57.86716477055527,477.7615692,8.256177248260501,1
Mobilint-ARIES,yolo12m,yolo12m,65.3168335,67.24850464,2.87243731342543,50.23825902,332.3498842,6.6154737581111345,19.905148377094378,149.11374730000003,7.491215060300227,1
Mobilint-ARIES,yolo12n,yolo12n,54.79487228,55.77432632,1.756101964155468,23.03649634,61.65644764,2.67646810218016,43.40937898024123,448.1791323,10.324476940893325,1
